INDEX,NEWS_TITTLE,URL
1,"'포켓몬 고' 개발사, 다음 게임은 '트랜스포머 AR'",http://www.bloter.net/newsView/blt202106150002
2,"게임빌, 신규 캐릭터 ‘라피스’ 추가…도감 효과도 상향",http://game.mk.co.kr/view.php?year=2021&no=576439
3,"넷마블, 6월 29일 마블IP 게임 쇼케이스 연다",http://www.fnnews.com/news/202106151440173226
4,"온라인 게임 ‘카트라이더’, 이제 오프라인에서 즐긴다",http://www.edaily.co.kr/news/newspath.asp?newsid=01895846629082048
5,"NHN 게임베이스, 게임서버 전문기업 '넷텐션'과 업무 제휴",http://www.newsis.com/view/?id=NISX20210614_0001475666&cID=13001&pID=13000
6,4200조 ‘일대일로’ vs 4경4640조 ‘B3W’… 中-G7 머니게임,http://news.kmib.co.kr/article/view.asp?arcid=0924196191&code=11141400&cp=nv
7,“바둑은 진리를 찾는 게임”,https://weekly.donga.com/3/all/11/2720128/1
8,공수처 검찰 치킨게임에…중복수사 우려 현실화,https://www.khan.co.kr/national/court-law/article/202106142203005
9,'서머너즈 워' 글로벌 서비스 7주년…90개국 게임 매출 1위,http://www.newsis.com/view/?id=NISX20210614_0001475860&cID=13001&pID=13000
10,"스마일게이트, 히트작 '크로스파이어' 기반 전략게임 공개",http://yna.kr/AKR20210614064500017?did=1195m
INDEX,NEWS_TITTLE,URL
1,"'포켓몬 고' 개발사, 다음 게임은 '트랜스포머 AR'",http://www.bloter.net/newsView/blt202106150002
2,"게임빌, 신규 캐릭터 ‘라피스’ 추가…도감 효과도 상향",http://game.mk.co.kr/view.php?year=2021&no=576439
3,"넷마블, 6월 29일 마블IP 게임 쇼케이스 연다",http://www.fnnews.com/news/202106151440173226
4,"온라인 게임 ‘카트라이더’, 이제 오프라인에서 즐긴다",http://www.edaily.co.kr/news/newspath.asp?newsid=01895846629082048
5,"NHN 게임베이스, 게임서버 전문기업 '넷텐션'과 업무 제휴",http://www.newsis.com/view/?id=NISX20210614_0001475666&cID=13001&pID=13000
6,4200조 ‘일대일로’ vs 4경4640조 ‘B3W’… 中-G7 머니게임,http://news.kmib.co.kr/article/view.asp?arcid=0924196191&code=11141400&cp=nv
7,“바둑은 진리를 찾는 게임”,https://weekly.donga.com/3/all/11/2720128/1
8,공수처 검찰 치킨게임에…중복수사 우려 현실화,https://www.khan.co.kr/national/court-law/article/202106142203005
9,'서머너즈 워' 글로벌 서비스 7주년…90개국 게임 매출 1위,http://www.newsis.com/view/?id=NISX20210614_0001475860&cID=13001&pID=13000
10,"스마일게이트, 히트작 '크로스파이어' 기반 전략게임 공개",http://yna.kr/AKR20210614064500017?did=1195m
INDEX,NEWS_TITTLE,URL
1,"'포켓몬 고' 개발사, 다음 게임은 '트랜스포머 AR'",http://www.bloter.net/newsView/blt202106150002
2,"게임빌, 신규 캐릭터 ‘라피스’ 추가…도감 효과도 상향",http://game.mk.co.kr/view.php?year=2021&no=576439
3,"넷마블, 6월 29일 마블IP 게임 쇼케이스 연다",http://www.fnnews.com/news/202106151440173226
4,"온라인 게임 ‘카트라이더’, 이제 오프라인에서 즐긴다",http://www.edaily.co.kr/news/newspath.asp?newsid=01895846629082048
5,"NHN 게임베이스, 게임서버 전문기업 '넷텐션'과 업무 제휴",http://www.newsis.com/view/?id=NISX20210614_0001475666&cID=13001&pID=13000
6,4200조 ‘일대일로’ vs 4경4640조 ‘B3W’… 中-G7 머니게임,http://news.kmib.co.kr/article/view.asp?arcid=0924196191&code=11141400&cp=nv
7,“바둑은 진리를 찾는 게임”,https://weekly.donga.com/3/all/11/2720128/1
8,공수처 검찰 치킨게임에…중복수사 우려 현실화,https://www.khan.co.kr/national/court-law/article/202106142203005
9,'서머너즈 워' 글로벌 서비스 7주년…90개국 게임 매출 1위,http://www.newsis.com/view/?id=NISX20210614_0001475860&cID=13001&pID=13000
10,"스마일게이트, 히트작 '크로스파이어' 기반 전략게임 공개",http://yna.kr/AKR20210614064500017?did=1195m
